,postalCode,addressRegion,streetAddress,NA,bed,bath,sqft,price_per_sqrt,CND,NA,lot_size,built,on_site,NA,price,link,HOA,img,City,Region,Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,Unnamed: 7,imgs_to_train
24,94103,CA,140 South Van Ness Avenue #847,,2.0,1.0,1115.0,761.0,CND,,,2002.0,19,,849000,https://www.ziprealty.com/property/140-S-VAN-NESS-AVE-_UNIT_847-SAN-FRANCISCO-CA-94103/10626839/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/44/444494_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/44/94/_P/444494_P01.jpg']
25,94103,CA,574 Natoma Street #101,,,1.0,303.0,1617.0,CND,,,2012.0,19,,490000,https://www.ziprealty.com/property/574-NATOMA-ST-_UNIT_101-SAN-FRANCISCO-CA-94103/82840250/detail,280.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/44/444478_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/44/78/_P/444478_P01.jpg']
26,94103,CA,380 14th Street #509,,2.0,1.0,,,CND,,,2012.0,20,,915000,https://www.ziprealty.com/property/380-14th-St-_UNIT_509-San-Francisco-CA-94103/87832505/detail,543.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/44/444413_180.jpg,SF,Inner Mission,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/44/13/_P/444413_P01.jpg']
27,94103,CA,776 Tehama Street #17,,2.0,2.0,1063.0,936.0,CND,,,2006.0,20,,995000,https://www.ziprealty.com/property/776-TEHAMA-ST-_UNIT_17-SAN-FRANCISCO-CA-94103/85266513/detail,450.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/43/444388_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/43/88/_P/444388_P01.jpg']
28,94103,CA,6 Mint Plaza #703a,,2.0,1.0,729.0,1232.0,CND,,,1900.0,28,,898000,https://www.ziprealty.com/property/6-Mint-Plz-_UNIT_703A-San-Francisco-CA-94103/87770473/detail,666.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/38/443879_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/38/79/_P/443879_P01.jpg']
29,94103,CA,135 Valencia Street #309,,1.0,1.0,584.0,1053.0,CND,,,1997.0,33,,615000,https://www.ziprealty.com/property/135-Valencia-St-_UNIT_309-San-Francisco-CA-94103/87735613/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/38/443857_180.jpg,SF,Inner Mission,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/38/57/_P/443857_P01.jpg']
30,94103,CA,112 Russ Street,,2.0,2.0,840.0,1167.0,CND,,,,34,,980000,https://www.ziprealty.com/property/112-Russ-St-San-Francisco-CA-94103/87723043/detail,0.0,https://images.static-ziprealty.com/z/20160426171848/images/homes/no-photo-158x119.png,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[]
31,94103,CA,114 Russ,,4.0,3.0,1650.0,1030.0,CND,,,,34,,1700000,https://www.ziprealty.com/property/114-Russ-St-San-Francisco-CA-94103/87723041/detail,0.0,https://images.static-ziprealty.com/z/20160426171848/images/homes/no-photo-158x119.png,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[]
32,94103,CA,642 Natoma Street,,3.0,2.0,1260.0,690.0,CND,,,1906.0,42,,869000,https://www.ziprealty.com/property/642-NATOMA-ST-SAN-FRANCISCO-CA-94103/10633843/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/33/443375_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/33/75/_P/443375_P01.jpg']
33,94103,CA,642 Natoma Street #b,,3.0,2.0,1440.0,694.0,CND,,,1906.0,42,,999000,https://www.ziprealty.com/property/642-NATOMA-ST-_UNIT_B-SAN-FRANCISCO-CA-94103/87693347/detail,0.0,https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/443433_180.jpg,SF,South of Market,94103.0,San Francisco,California,CA,San Francisco,37.7725,-122.4147,,[u'https://images-mls.static-ziprealty.com/images_mls/CABCREIS/44/34/33/_P/443433_P01.jpg']
